iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
673,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Napoléon-Valois","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme bâtie pour Napoléon Valois.","Beaconsfield","Visible","Ancienne maison de ferme bâtie pour Napoléon Valois.","1890","Oui","http://www.flickr.com/photos/parcoursriverain/8533688101/",,"597, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8091/8533688101_0d785212d2_q.jpg",45.415001,-73.894096,273954.966508,5030638.295603,"Point"
675,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Emplacement, lieu dit","Lieu dit du fort Quenet","2 - Les cours d'eau pour commercer et s'établir","Emplacement possible d’un ancien fort illustré sur une carte de 1744.","Beaconsfield","Potentiel archéologique","Emplacement possible d’un ancien fort illustré sur une carte de 1744.",,"Non",,,"Montréal QC, Canada",,45.4151,-73.879898,275066.287483,5030643.97171,"Point"
676,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Gare de Beaconsfield","4 - Les rivages, espaces de bien-être et de loisirs","Gare ayant propulsé le développement de la villégiature dans cette partie de l’ouest de l’île.","Beaconsfield","Visible","Gare ayant propulsé le développement de la villégiature dans cette partie de l’ouest de l’île.","1905","Non","http://www.flickr.com/photos/parcoursriverain/8534800648/",,"104, avenue Elm  Montréal QC, Canada","http://farm9.staticflickr.com/8237/8534800648_d1ff579b0b_q.jpg",45.434898,-73.848099,277564.66531,5032832.872117,"Point"
677,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Joseph-Paiement","4 - Les rivages, espaces de bien-être et de loisirs","Maison en bois dont la généreuse galerie est caractéristique des résidences de villégiatures de cette époque.","Beaconsfield","Visible","Maison en bois dont la généreuse galerie est caractéristique des résidences de villégiatures de cette époque.","1915","Non","http://www.flickr.com/photos/parcoursriverain/8534800828/",,"17, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8516/8534800828_815a424798_q.jpg",45.427799,-73.834503,278625.105539,5032039.43557,"Point"
678,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison en bois construite, à l’époque, à proximité de nombreux hangars à bateaux. Ces installations témoignent de l’importance des activités nautiques sur les rives du lac Saint-Louis à la fin du 19e siècle.","Beaconsfield","Visible","Maison en bois construite, à l’époque, à proximité de nombreux hangars à bateaux. Ces installations témoignent de l’importance des activités nautiques sur les rives du lac Saint-Louis à la fin du 19e siècle.","Vers 1896","Non","http://www.flickr.com/photos/parcoursriverain/8534801284/",,"21, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8240/8534801284_4f0ea41d42_q.jpg",45.4272,-73.8349,278593.784381,5031973.008774,"Point"
679,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison ancienne ayant probablement servi de résidence de villégiature.","Beaconsfield","Visible","Maison ancienne ayant probablement servi de résidence de villégiature.","Vers 1920","Non","http://www.flickr.com/photos/parcoursriverain/8533693267/",,"26A, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8241/8533693267_bf6f826b69_q.jpg",45.426498,-73.835197,278570.176039,5031895.103857,"Point"
680,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Cottages Francis-Upton","4 - Les rivages, espaces de bien-être et de loisirs","Ensemble de maisons construites comme pavillon de l’hôtel The Grove dans le cadre d’un projet de club privé développé par Francis Upton, restaurateur de Montréal.","Beaconsfield","Visible","Ensemble de maisons construites comme pavillon de l’hôtel The Grove dans le cadre d’un projet de club privé développé par Francis Upton, restaurateur de Montréal.","Vers 1895","Non","http://www.flickr.com/photos/parcoursriverain/8534803798/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?%3C%3F=%20%3C%3F%3D%20%3C%3F%3D%20%3C%3F%3D%20%3C%3F%3D%20affichage%3Dfiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1219","29 et 31, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8250/8534803798_49207805ff_q.jpg",45.427299,-73.836098,278500.100368,5031984.421761,"Point"
681,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Annexes de l’auberge The Grove","4 - Les rivages, espaces de bien-être et de loisirs","Anciennes annexes de l’hôtel The Grove, transformées en résidences.","Beaconsfield","Visible","Anciennes annexes de l’hôtel The Grove, transformées en résidences.","1891","Non","http://www.flickr.com/photos/parcoursriverain/8534803418/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?%3C%3F=%20%3C%3F%3D%20%3C%3F%3D%20%3C%3F%3D%20%3C%3F%3D%20affichage%3Dfiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1219","32-32A et 34, avenue Old Church  Montréal QC, Canada","http://farm9.staticflickr.com/8391/8534803418_71f29a7d29_q.jpg",45.426899,-73.8367,278452.750573,5031940.107062,"Point"
682,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Cottages John Henry Menzies","4 - Les rivages, espaces de bien-être et de loisirs","Maisons faisant à l’origine partie d’un ensemble de six maisons de villégiature construites par le marchand John Henry Menzies et destinées à la location saisonnière.","Beaconsfield","Visible","Maisons faisant à l’origine partie d’un ensemble de six maisons de villégiature construites par le marchand John Henry Menzies et destinées à la location saisonnière.","1877","Oui","http://www.flickr.com/photos/parcoursriverain/8534802908/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?%3C%3F=%20%3C%3F%3D%20%3C%3F%3D%20%3C%3F%3D%20%3C%3F%3D%20affichage%3Dfiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1219","33, 35, 37, 39, 41 et 43A, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8099/8534802908_b056a3304c_q.jpg",45.428001,-73.8386,278304.610853,5032063.245003,"Point"
683,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Kirkwood et McKinnon","4 - Les rivages, espaces de bien-être et de loisirs",,"Beaconsfield","Visible",,"1892","Non","http://www.flickr.com/photos/parcoursriverain/8534803898/",,"55, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8089/8534803898_fc6009f27a_q.jpg",45.429001,-73.841202,278101.505591,5032175.173304,"Point"
684,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Secteur, zone","Secteur de l’avenue Kirkwood","4 - Les rivages, espaces de bien-être et de loisirs","Un des premiers projets de développement résidentiel de Beaconsfield. Il était destiné à des maisons de villégiatures.","Beaconsfield","Visible","Un des premiers projets de développement résidentiel de Beaconsfield. Il était destiné à des maisons de villégiatures.","Vers 1891","Non","http://www.flickr.com/photos/parcoursriverain/8533694839/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8527/8533694839_0283c33835_q.jpg",45.429699,-73.842201,278023.630263,5032253.083583,"Point"
685,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Équipement maritime","Club nautique Lord Reading","4 - Les rivages, espaces de bien-être et de loisirs","Club de yacht fondé en 1945 par un groupe de montréalais de confession juive à qui on refusait l’adhésion à d’autres clubs.","Beaconsfield","Non accessible ou non visible","Club de yacht fondé en 1945 par un groupe de montréalais de confession juive à qui on refusait l’adhésion à d’autres clubs.","1945","Non","http://www.flickr.com/photos/parcoursriverain/8533695275/",,"260, boulevard Beaconsfield  Montréal QC, Canada","http://farm9.staticflickr.com/8230/8533695275_d7a874e070_q.jpg",45.424599,-73.861198,276534.603543,5031692.798249,"Point"
686,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Parc","Parc Memorial","4b - Les parcs en rive","Parc créé en 1945 par la Ville de Beaconsfield en l’honneur des soldats ayant perdu la vie au cours de la Deuxième Guerre mondiale. Il comporte notamment une plage.","Beaconsfield","Visible","Parc créé en 1945 par la Ville de Beaconsfield en l’honneur des soldats ayant perdu la vie au cours de la Deuxième Guerre mondiale. Il comporte notamment une plage.","1945","Non","http://www.flickr.com/photos/parcoursriverain/8533696549/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1220","Montréal QC, Canada","http://farm9.staticflickr.com/8087/8533696549_9dbe21931e_q.jpg",45.4245,-73.862999,276393.653722,5031682.410554,"Point"
687,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Édifice Centennial","4 - Les rivages, espaces de bien-être et de loisirs","Ancienne résidence de villégiature construite pour Léo Dandurand, ancien copropriétaire du club de hockey des Canadiens de Montréal, selon les plans des architectes Perrault et Gadbois, sur des fondations datant de 1906. Abrite aujourd’hui le centre culturel de la municipalité.","Beaconsfield","Visible","Ancienne résidence de villégiature construite pour Léo Dandurand, ancien copropriétaire du club de hockey des Canadiens de Montréal, selon les plans des architectes Perrault et Gadbois, sur des fondations datant de 1906. Abrite aujourd’hui le centre culturel de la municipalité.","1941","Oui","http://www.flickr.com/photos/parcoursriverain/8533697007/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1220","288, boulevard Beaconsfield  Montréal QC, Canada","http://farm9.staticflickr.com/8103/8533697007_5c24b0b0d2_q.jpg",45.423599,-73.863297,276369.917471,5031582.469807,"Point"
689,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Alex-Christmas","4 - Les rivages, espaces de bien-être et de loisirs","Ancienne résidence d’été construite pour l’épouse d’Alex Christmas, courtier.","Beaconsfield","Visible","Ancienne résidence d’été construite pour l’épouse d’Alex Christmas, courtier.","1927","Non","http://www.flickr.com/photos/parcoursriverain/8533697877/",,"430, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8231/8533697877_61dd4d1ecc_q.jpg",45.4184,-73.876198,275357.612475,5031009.303811,"Point"
690,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison George-V.-Crowdy","4 - Les rivages, espaces de bien-être et de loisirs","Ancienne résidence d’été construite pour George V. Crowdy, maire de Beaconsfield de 1916 à 1918.","Beaconsfield","Visible","Ancienne résidence d’été construite pour George V. Crowdy, maire de Beaconsfield de 1916 à 1918.","1915","Oui","http://www.flickr.com/photos/parcoursriverain/8534808230/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1221","460, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8385/8534808230_ef09fce779_q.jpg",45.416401,-73.879601,275090.257848,5030788.419373,"Point"
691,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Secteur, zone","Secteur de la pointe Thompson","4 - Les rivages, espaces de bien-être et de loisirs","Un des premiers lotissements résidentiels de Beaconsfield. Il s’organise autour d’un espace commun dédié au sport.","Beaconsfield","Visible","Un des premiers lotissements résidentiels de Beaconsfield. Il s’organise autour d’un espace commun dédié au sport.","À partir de 1892","Non","http://www.flickr.com/photos/parcoursriverain/8534808756/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1221","Montréal QC, Canada","http://farm9.staticflickr.com/8095/8534808756_3c931774c5_q.jpg",45.4156,-73.880203,275042.664572,5030699.618403,"Point"
692,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Nicholas-Power","4 - Les rivages, espaces de bien-être et de loisirs","Ancienne résidence d’été construite pour Nicholas Power.","Beaconsfield","Visible","Ancienne résidence d’été construite pour Nicholas Power.","1892","Non","http://www.flickr.com/photos/parcoursriverain/8533699463/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1221","476, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8247/8533699463_cd981a3738_q.jpg",45.415298,-73.881203,274964.281969,5030666.49871,"Point"
694,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Robert-Boyd","4 - Les rivages, espaces de bien-être et de loisirs","Maison construite selon les plans de l’architecte britannique L. N. Booth pour Robert Boyd.","Beaconsfield","Visible","Maison construite selon les plans de l’architecte britannique L. N. Booth pour Robert Boyd.","1932","Non","http://www.flickr.com/photos/parcoursriverain/8533699053/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1221","498, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8229/8533699053_7ec27d3a1c_q.jpg",45.416199,-73.882301,274878.770374,5030766.95248,"Point"
695,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison William-McMaster","4 - Les rivages, espaces de bien-être et de loisirs","Ancienne maison de villégiature construite pour William McMaster, homme d’affaire. Il la nomme The Gables.","Beaconsfield","Visible","Ancienne maison de villégiature construite pour William McMaster, homme d’affaire. Il la nomme The Gables.","1893","Non","http://www.flickr.com/photos/parcoursriverain/8534809210/",,"538, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8228/8534809210_0fa98e79fe_q.jpg",45.414902,-73.887398,274479.198283,5030624.72705,"Point"
